"business_name","business_type","post","rating","scores","date","local_authority"
"4Motion Skatepark","Retailers - other","DL3 0PP","Exempt","","2014-08-11","Darlington"
"A Little Cakeness","Other catering premises",NA,"5","000","2016-03-31","Darlington"
"Acorn Care (UK) Ltd","Hospitals/Childcare/Caring Premises","DL3 8AQ","5","000","2015-12-11","Darlington"
"Acorn Dairy","Manufacturers/packers","DL2 2YB","5","000","2017-03-16","Darlington"
"Adams Pizzeria","Takeaway/sandwich shop","DL1 2EQ","5","555","2015-11-03","Darlington"
"Adventure Point","Restaurant/Cafe/Canteen","DL1 4PL","5","000","2016-11-04","Darlington"
"Age Uk (Cafe And The Arcade Dementia Centre)","Restaurant/Cafe/Canteen","DL1 5SX","5","000","2016-09-21","Darlington"
"AJ Convenience Store","Retailers - other","DL3 6DU","5","000","2016-10-04","Darlington"
"Akbar Dynasty","Restaurant/Cafe/Canteen","DL2 1SZ","2","151010","2017-03-09","Darlington"
"Akbar The Great","Restaurant/Cafe/Canteen","DL3 7JJ","5","000","2016-02-18","Darlington"
"Al Forno","Restaurant/Cafe/Canteen","DL3 7LX","4","","2016-11-01","Darlington"
"Albert Road Post Office","Retailers - other","DL1 2EQ","5","000","2016-05-10","Darlington"
"Aldi","Retailers - supermarkets/hypermarkets","DL1 1BA","5","000","2015-10-23","Darlington"
"Aldi","Retailers - supermarkets/hypermarkets","DL1 2EE","5","000","2016-10-26","Darlington"
"Alice Park Childminder","Other catering premises",NA,"5","500","2017-03-31","Darlington"
"Alice's Kitchen","Other catering premises","DL1 4PJ","5","000","2015-04-16","Darlington"
"All Edible (Cake Toppers)","Retailers - other","DL1 2RR","Exempt","","2016-10-12","Darlington"
"All Saints Church Hall","Restaurant/Cafe/Canteen","DL3 8DT","5","000","2016-09-16","Darlington"
"Alliance Cafe","Restaurant/Cafe/Canteen","DL1 2NG","5","000","2016-06-17","Darlington"
"AM Catering","Mobile caterer","DL1 4LZ","5","000","2015-12-15","Darlington"
"Amritsar","Restaurant/Cafe/Canteen","DL1 5RL","5","555","2016-01-14","Darlington"
"Andrew Mulholland And Son","Retailers - other","DL1 5PX","5","555","2016-11-14","Darlington"
"Annie's Truck Shop","Retailers - other",NA,"5","000","2017-02-15","Darlington"
"Antoni's","Takeaway/sandwich shop","DL3 6LA","5","555","2016-03-01","Darlington"
"Aramark Ltd At Argos Distribution Centre","Restaurant/Cafe/Canteen","DL3 0UR","5","000","2016-09-21","Darlington"
"Archers Catering","Other catering premises","DL3 9EJ","AwaitingInspection","","","Darlington"
"Archers Jersey Ice Cream","Manufacturers/packers","DL2 2UD","5","000","2017-03-09","Darlington"
"Argos","Retailers - other","DL3 7NJ","Exempt","","2016-02-22","Darlington"
"Arronbeth Ltd","Hospitals/Childcare/Caring Premises","DL2 2DA","5","000","2016-09-05","Darlington"
"Asda","Retailers - supermarkets/hypermarkets","DL1 2BJ","5","000","2015-08-18","Darlington"
"Asda","Retailers - supermarkets/hypermarkets","DL1 4PF","5","000","2015-11-17","Darlington"
"Asda","Retailers - supermarkets/hypermarkets","DL1 3RB","5","000","2016-05-05","Darlington"
"Asha News","Retailers - other","DL3 0RP","5","500","2017-02-06","Darlington"
"Ashleigh House","Hospitals/Childcare/Caring Premises","DL1 3AF","5","000","2016-08-11","Darlington"
"Ashleigh Ross","Other catering premises","DL3 0NG","5","000","2017-01-11","Darlington"
"Auton","Hospitals/Childcare/Caring Premises","DL3 7HA","5","000","2014-11-26","Darlington"
"Avalon","Pub/bar/nightclub","DL1 5HL","5","000","2016-11-29","Darlington"
"B & H Chippy And Cafe","Takeaway/sandwich shop","DL1 1XQ","5","000","2017-03-13","Darlington"
"B \& N Off Licence","Retailers - other","DL1 1XE","4","10010","2017-02-13","Darlington"
"B A Open","Retailers - other","DL1 1UN","5","000","2014-02-12","Darlington"
"B And G Mini Market","Retailers - other","DL1 1DZ","5","000","2015-10-27","Darlington"
"B&R News","Retailers - other","DL1 2JX","5","000","2016-05-19","Darlington"
"B\& M Stores","Retailers - other","DL3 0XZ","5","000","2015-09-02","Darlington"
"Balmoral Guest House","Hotel/bed & breakfast/guest house","DL3 7BQ","5","000","2016-03-17","Darlington"
"Bank Top Bakery","Takeaway/sandwich shop",NA,"AwaitingInspection","","","Darlington"
"Bank Top Central","Pub/bar/nightclub","DL1 1XH","5","505","2016-09-20","Darlington"
"Bannatyne Hotel Darlington","Hotel/bed & breakfast/guest house","DL3 7HZ","2","","2016-11-28","Darlington"
"Bannatynes Health And Leisure","Pub/bar/nightclub","DL1 1SS","5","000","2016-02-18","Darlington"
"Barbara Shepherd Baking","Other catering premises",NA,"5","000","2017-04-04","Darlington"
"Bargain Booze","Retailers - other","DL3 9RX","2","1505","2016-09-12","Darlington"
"Barnards Traditional Greengrocers","Retailers - other","DL1 1LU","4","01010","2015-09-23","Darlington"
"Bartlett Street Fish Shop","Takeaway/sandwich shop","DL3 6NB","5","000","2015-10-16","Darlington"
"Bates Avenue Convenience Store","Retailers - other","DL3 0TP","5","505","2014-06-16","Darlington"
"Baydale Beck","Pub/bar/nightclub","DL2 2JX","5","555","2015-09-02","Darlington"
"Bean4Coffee","Takeaway/sandwich shop","DL3 0PH","5","555","2015-11-05","Darlington"
"Bella Italia Darlington","Restaurant/Cafe/Canteen","DL1 5AD","5","000","2016-04-04","Darlington"
"Bengal Heritage","Restaurant/Cafe/Canteen","DL3 6LA","5","000","2017-02-17","Darlington"
"Best Kebab","Takeaway/sandwich shop","DL3 7LL","5","555","2015-05-19","Darlington"
"Best Kebab 1","Takeaway/sandwich shop","DL1 1QS","5","000","2016-03-10","Darlington"
"Best Shawarma","Takeaway/sandwich shop","DL1 1TZ","5","000","2016-11-24","Darlington"
